UGL	Antarctica/South_Pole	Union Glacier Blue-Ice Runway
KYK	America/Anchorage	Karluk
CWG	America/New_York	Callaway Gardens
HOM	America/Anchorage	Homer Airport
HPB	America/Nome	Hooper Bay Airport
HSL	America/Anchorage	Huslia Airport
AKN	America/Anchorage	King Salmon Airport
AKP	America/Anchorage	Anaktuvuk
BDL	America/New_York	Bradley International Airport
BDM	Europe/Istanbul	Bandirma
BDP	Asia/Kathmandu	Bhadrapur Airport
BEA	Pacific/Port_Moresby	Bereina
BEG	Europe/Belgrade	Belgrad Nikola Tesla Airport
BFL	America/Los_Angeles	Meadows Field Airport
BFN	Africa/Johannesburg	Bram Fischer International Airport
BFS	Europe/London	Belfast International Airport
IAN	America/Anchorage	Bob Baker Memorial Airport
SHX	America/Anchorage	Shageluk Airport
KPH	America/Anchorage	Pauloff Harbor SPB
AAG	America/Sao_Paulo	Arapoti
LUR	America/Nome	Cape Lisburne
OME	America/Nome	Nome Airport
LMA	America/Anchorage	Lake Minchumina
VCB	America/Anchorage	View Cove
OOK	America/Anchorage	Toksook Bay Airport
KPK	America/Anchorage	Parks SPB
SMK	America/Anchorage	St. Michael Airport
KUW	America/Anchorage	Kugururok River
PTH	America/Anchorage	Port Heiden
PTU	America/Anchorage	Platinum Airport
SKJ	America/Anchorage	Sitkinak Cgs
VKW	America/Anchorage	West Kavik
KPC	America/Anchorage	Port Clarence
WDB	America/Sitka	Deep Bay
TGJ	Pacific/Noumea	Tiga
CZO	America/Anchorage	Chistochina
MLY	America/Anchorage	Manley Hot Springs
MFA	Africa/Dar_es_Salaam	Mafia
MFE	America/Chicago	McAllen International Airport
LYK	Asia/Makassar	Lunyuk
LYR	Arctic/Longyearbyen	Svalbard Airport
LYU	America/Chicago	Ely
LYX	Europe/London	London Ashford International (Ferryfield)
LZA	Africa/Lubumbashi	Luiza
ORT	America/Anchorage	Northway
OTZ	America/Nome	Ralph Wien Memorial Airport
AAO	America/Caracas	Anaco
AAR	Europe/Copenhagen	Aarhus Airport
AAV	Asia/Manila	Allah Valley
NLG	America/Anchorage	Nelson Lagoon
AAY	Asia/Aden	Al Ghaydah
ACA	America/Mexico_City	Acapulco International Airport
ACH	Europe/Zurich	Altenrhein Airport
ACX	Asia/Shanghai	Xingyi Airport
BFV	Asia/Bangkok	Buri Ram Airport
BGA	America/Bogota	Palonegro International Airport
BGD	America/Chicago	Borger
LSI	Europe/London	Sumburgh Airport
FIC	America/Juneau	Fire Cove
RBY	America/Anchorage	Ruby Airport
XEO	America/Godthab	Harbour
PFD	America/Anchorage	Port Frederick
ABZ	Europe/London	Aberdeen International Airport
XLF	America/Montreal	Leaf Bay
KSM	America/Anchorage	Saint Mary's Airport
TKA	America/Anchorage	Talkeetna
GBN	Europe/Rome	San Giovanni Rotondo
FYU	America/Anchorage	Fort Yukon Airport
JNN	America/Godthab	Nanortalik
GAR	Pacific/Port_Moresby	Garaina
TNO	America/Costa_Rica	Tamarindo
TNZ	Asia/Hovd	Tosontsengel
TOB	Africa/Tripoli	Tobruk
BNM	Pacific/Port_Moresby	Bodinumu
BNZ	Pacific/Port_Moresby	Banz
BPD	Pacific/Port_Moresby	Bapi
CPN	Pacific/Port_Moresby	Cape Rodney
LZU	America/New_York	Gwinnett County Airport
MBP	America/Lima	Moyobamba
MBQ	Africa/Kampala	Mbarara
MBT	Asia/Manila	Masbate Airport
MBX	Europe/Ljubljana	Maribor International Airport
ACS	Asia/Krasnoyarsk	Achinsk
ACZ	Asia/Tehran	Zabol Airport
AER	Europe/Moscow	Sochi International Airport
AES	Europe/Oslo	Vigra Alesund Airport
AFZ	Asia/Tehran	Sabzevar
AHO	Europe/Rome	Alghero-Fertilia Airport
AHZ	Europe/Paris	Alpe D Huez
AJL	Asia/Kolkata	Aizawl Airport
MIN	Australia/Adelaide	Minnipa
MIP	Asia/Jerusalem	Mitspeh Ramon
MIR	Africa/Tunis	Habib Bourguiba International Airport
MIT	America/Los_Angeles	Kern County
SCC	America/Anchorage	Prudhoe Bay/Deadhorse Airport
SLQ	America/Anchorage	Sleetmute
YCI	America/Toronto	Caribou Island
MIW	America/Chicago	Municipal
MJB	Pacific/Majuro	Mejit Island
YCX	America/Moncton	Gagetown
YDI	America/Goose_Bay	Davis Inlet
BNT	Pacific/Port_Moresby	Bundi
BOT	Pacific/Port_Moresby	Boset
YJO	America/Vancouver	Johnny Mountain
YAV	America/Vancouver	Miners Bay
ELM	America/New_York	Elmira Corning Regional Airport
QJE	America/Godthab	Heliport
MJC	Africa/Abidjan	Man
KKD	Pacific/Port_Moresby	Kokoda
KUY	Pacific/Port_Moresby	Kamusi Airport
KWO	Pacific/Port_Moresby	Kawito
AKJ	Asia/Tokyo	Asahikawa Airport
GEI	Pacific/Port_Moresby	Green Islands
HTI	Australia/Lindeman	Hamilton Island Airport
RBH	America/Anchorage	Brooks Lodge
AKL	Pacific/Auckland	Auckland Airport
MHT	America/New_York	Manchester Boston Regional Airport
IHU	Pacific/Port_Moresby	Ihu
YRE	America/Pangnirtung	Resolution Island
TQL	Asia/Yekaterinburg	Tarko-Sale
YSR	America/Iqaluit	Nanisivik
BPB	Pacific/Port_Moresby	Boridi
MJF	Europe/Oslo	Kjaerstad Airport
YGS	America/Vancouver	Germansen
BPK	Pacific/Port_Moresby	Biangabip
BTX	Australia/Brisbane	Betoota
BUC	Australia/Brisbane	Burketown
AKT	Asia/Nicosia	Raf Akrotiri
BDW	Australia/Perth	Bedford Downs
BGM	America/New_York	Greater Binghamton Airport
BGN	Asia/Srednekolymsk	Belaya Gora Airport
BGO	Europe/Oslo	Bergen Airport
BGS	America/Chicago	Webb AFB
BGU	Africa/Bangui	Bangassou
BGV	America/Sao_Paulo	Bento Goncalves
BVI	Australia/Brisbane	Birdsville
YBI	America/Goose_Bay	Black Tickle
MJG	America/Havana	Mayajigua
ZFL	America/Winnipeg	South Trout Lake
BLS	Australia/Brisbane	Bollon
MJI	Africa/Tripoli	Mitiga Tripoli Airport
MHW	America/La_Paz	Monteagudo
YIO	America/Iqaluit	Pond Inlet Airport
MIA	America/New_York	Miami International Airport
EDA	America/Nome	Edna Bay
GCI	Europe/Guernsey	Guernsey Airport
AKW	Asia/Tehran	Aghajari
TRS	Europe/Rome	Trieste - Friuli Venezia Giulia Airport
LBV	Africa/Libreville	Libreville Airport
TRV	Asia/Kolkata	Trivandrum International Airport
TRZ	Asia/Kolkata	Tiruchirapalli International Airport
TSA	Asia/Taipei	Taipei Songshan Airport
TSB	Africa/Windhoek	Tsumeb
TSC	America/Guayaquil	Taisha
TSD	Africa/Johannesburg	Tshipise
TSE	Asia/Almaty	Astana (Nursultan) International Airport
TBG	Pacific/Port_Moresby	Tabubil Airport
BQL	Australia/Brisbane	Boulia
GIC	Australia/Brisbane	Boigu Island
ALF	Europe/Oslo	Alta Airport
ALH	Australia/Perth	Albany Airport
ANO	Africa/Maputo	Angoche
BEW	Africa/Maputo	Beira Airport
BGW	Asia/Baghdad	Baghdad International Airport
HBH	America/Juneau	Hobart Bay
ISA	Australia/Brisbane	Mount Isa Airport
LRE	Australia/Brisbane	Longreach Airport
MYI	Australia/Brisbane	Murray Island
MJL	Africa/Libreville	Mouila
BKO	Africa/Bamako	Bamako-Senou International Airport
MJM	Africa/Lubumbashi	Mbuji-Mayi
MIC	America/Chicago	Crystal
MID	America/Merida	Manuel Crescencio Rejon International Airport
KAH	Australia/Melbourne	City Heliport
LHG	Australia/Sydney	Lightning Ridge
ADX	Europe/London	Leuchars
TSX	Asia/Makassar	Tanjung Santan
TTB	Europe/Rome	Arbatax
DKL	America/Vancouver	Kiwigana Lodge Heliport
BRZ	Africa/Abidjan	Borotou
BSZ	America/Anchorage	Bartletts
AEH	Africa/Ndjamena	Abéché
ASR	Europe/Istanbul	Kayseri Airport
AYN	Asia/Shanghai	Anyang Airport
BHE	Pacific/Auckland	Woodbourne Airport
BHG	America/Tegucigalpa	Brus Laguna
BHJ	Asia/Kolkata	Rudra Mata Airport
BHM	America/Chicago	Birmingham-Shuttlesworth International Airport
BHN	Asia/Aden	Beihan
BHQ	Australia/Broken_Hill	Broken Hill Airport
BHT	Australia/Brisbane	Brighton Downs
BHU	Asia/Kolkata	Bhavnagar Airport
BVL	America/La_Paz	Baures
EUA	Pacific/Tongatapu	Kaufana
HIH	Australia/Brisbane	Hook Island
HZK	Atlantic/Reykjavik	Husavik
MKL	America/Chicago	Mckellar Airport
BXV	Atlantic/Reykjavik	Breiddalsvik
BAC	America/Bogota	Barranca De Upia
BIA	Europe/Paris	Bastia Poretta Airport
BID	America/New_York	Block Island
BIE	America/Chicago	Beatrice
YHI	America/Yellowknife	Holman
BIJ	Pacific/Port_Moresby	Biliau
YKL	America/Montreal	Schefferville Airport
MKO	America/Chicago	Davis Field
MKW	Asia/Jayapura	Rendani Airport
BIU	Atlantic/Reykjavik	Bildudalur
YKG	America/Montreal	Kangirsuk Airport
MKY	Australia/Brisbane	Mackay Airport
SDO	Asia/Tokyo	Ryotsu Sado Island
YAT	America/Toronto	Attawapiskat
KZH	America/Anchorage	Kizhuyak
YHK	America/Cambridge_Bay	Gjoa Haven Airport
BJF	Europe/Oslo	Batsfjord Airport
BJI	America/Chicago	Bemidji Airport
CVA	America/New_York	Civic Ar Heli
CZH	America/Belize	Corozal
FMC	America/Anchorage	Five Mile
HSC	Asia/Shanghai	Shaoguan
YGY	America/Montreal	Deception
LCS	America/Costa_Rica	Las Canas
LGZ	America/Bogota	Leguizamo
MLI	America/Chicago	Quad City International Airport
MLN	Africa/Ceuta	Melilla Airport
QPW	America/Godthab	Heliport
YLS	America/Montreal	Lebel-Sur-Quevillon
OUI	Asia/Vientiane	Ban Houei
JPU	Europe/Paris	La Defense Heliport
JWH	America/Chicago	Westchase Hilton Heliport
PCE	America/Anchorage	Painter Creek
PFA	America/Anchorage	Paf Warren
MLO	Europe/Athens	Milos Airport
EPI	Pacific/Efate	Epi
MLP	Asia/Manila	Malabang
MNJ	Indian/Antananarivo	Mananjary
MNL	Asia/Manila	Ninoy Aquino International Airport
MJQ	America/Chicago	Jackson
FTL	America/Nome	Fortuna Ledge
BAG	Asia/Manila	Loakan
BAH	Asia/Bahrain	Bahrain International Airport
BAV	Asia/Chongqing	Baotou Airport
BAX	Asia/Omsk	Barnaul Gherman Titov International Airport
BBR	America/Guadeloupe	Baillif
BBS	Europe/London	Blackbushe
BJL	Africa/Banjul	Yundum International Airport
BJN	Africa/Maputo	Bajone
BJQ	Asia/Muscat	Bahja Airport
BJT	Asia/Colombo	Bentota River
BJV	Europe/Istanbul	Milas-Bodrum Airport
YTC	America/Vancouver	Sturdee Valley Airport
YMP	America/Vancouver	Port McNeil
CCD	America/Los_Angeles	Century City
NES	America/New_York	East 34th St Landing
MST	Europe/Amsterdam	Maastricht Aachen Airport
YND	America/Toronto	Gatineau Airport
MSV	America/New_York	Sullivan County International
DJG	Africa/Algiers	Inedbirenne Airport
AAL	Europe/Copenhagen	Aalborg Airport
ALT	America/Santarem	Alenquer
YNP	America/Goose_Bay	Natuashish Airport
AYU	Pacific/Port_Moresby	Aiyura
MSY	America/Chicago	Louis Armstrong New Orleans International Airport
YNC	America/Montreal	Wemindji
YXY	America/Whitehorse	Whitehorse Airport
POQ	America/Anchorage	Polk Inlet
RLU	America/Anchorage	Bornite Upper
MTH	America/New_York	Florida Keys Marathon Airport
EPT	Pacific/Port_Moresby	Eliptamin
MTJ	America/Denver	Montrose Regional Airport
EXI	America/Juneau	SPB
SOI	Australia/Brisbane	South Molle Island
PTR	America/Anchorage	Pleasant Harbour
FNK	America/Anchorage	Fin Creek
BAS	Pacific/Guadalcanal	Balalae
BMT	America/Chicago	Beaumont Municipalcipal
BMV	Asia/Ho_Chi_Minh	Phung-Duc Airport
BMY	Pacific/Noumea	Belep Island
BNA	America/Chicago	Nashville International Airport
BND	Asia/Tehran	Bandar Abbas International Airport
BQI	Africa/Windhoek	Bagani
FXM	America/Anchorage	Flaxman Island
GTB	Asia/Kuala_Lumpur	Genting
HEX	America/Santo_Domingo	Santo Domingo Herrera
RXA	Asia/Aden	Raudha
HGT	America/Los_Angeles	Hunter AAF
KGE	Pacific/Guadalcanal	Kagau
NBO	Africa/Nairobi	Jomo Kenyatta International Airport
YPL	America/Atikokan	Pickle Lake
YPX	America/Montreal	Puvirnituq
NMF	Indian/Maldives	Maafaru International Airport
QUP	America/Godthab	Heliport
VIK	America/Anchorage	Airstrip
WBI	America/Denver	Broker Inn
YPM	America/Winnipeg	Pikangikum
YCP	America/Winnipeg	Co-op Point
NBS	Asia/Shanghai	Changbaishan Airport
NCE	Europe/Paris	Cote D'Azur Airport
NEU	Asia/Vientiane	Sam Neua
KOI	Europe/London	Kirkwall Airport
MDA	America/Chicago	Martindale Army Heliport
MJR	America/Argentina/Buenos_Aires	Miramar
XBE	America/Winnipeg	Bearskin Lake
JSO	Europe/Stockholm	Sodertalje Heliport
BDS	Europe/Rome	Brindisi - Salento Airport
BDU	Europe/Oslo	Bardufoss Airport
BEB	Europe/London	Benbecula Airport
YTK	America/Montreal	Tulugak
BED	America/New_York	Hanscom Field
BEF	America/Managua	Bluefields
BQN	America/Puerto_Rico	Rafael Hernandez Airport
BQQ	America/Bahia	Barra
BQV	America/Juneau	Bartlett SPB
BRV	Europe/Berlin	Bremerhaven
BTN	America/New_York	Bennettsville
BTP	America/New_York	Butler County - Kenny Scholter Field
BVA	Europe/Paris	Beauvais-Tille Airport
BVB	America/Boa_Vista	Boa Vista Airport
BVE	Europe/Paris	Laroche Airport
BVR	Atlantic/Cape_Verde	Esperadinha
FLE	America/New_York	Fort Lee AAF
GAF	Africa/Tunis	Gafsa
GEK	America/Anchorage	Ganes Creek
GFB	America/Anchorage	Togiak Fish
GLQ	America/Anchorage	Glennallen
JCH	America/Godthab	Qasigiannguit
JCJ	Asia/Seoul	Chuja Heliport
YLF	America/Montreal	LaForges
YSG	America/Yellowknife	Lutselke
CEL	America/Nassau	Cape Eleuthera
YSE	America/Vancouver	Squamish
YRT	America/Rankin_Inlet	Rankin Inlet Airport
WLB	America/Sitka	Labouchere Bay
KNV	America/Vancouver	Knights Inlet
MIK	Europe/Helsinki	Mikkeli
YDX	America/Vancouver	Doc Creek
YTN	America/Montreal	Riviere Au Tonnerre
AAM	Africa/Johannesburg	Mala Mala
BGR	America/New_York	Bangor International Airport
BWA	Asia/Kathmandu	Bhairawa Airport
BWL	America/Chicago	Blackwell
BWM	America/Boise	Bowman
BWW	America/Havana	Las Brujas Airport
BXA	America/Chicago	George R Carr
BXC	America/New_York	Boxborough
BXG	Australia/Melbourne	Bendigo
BXH	Asia/Almaty	Balhash
BXI	Africa/Abidjan	Boundiali
BXJ	Asia/Almaty	Burundai
FGL	Pacific/Auckland	Fox Glacier
MIM	Australia/Sydney	Merimbula Airport
MJD	Asia/Karachi	Mohenjodaro
NTQ	Asia/Tokyo	Noto Airport
APR	Pacific/Port_Moresby	April River
KPF	Pacific/Port_Moresby	Kondubol
WHH	America/Denver	Hiltons Har H
MJN	Indian/Antananarivo	Amborovy
MLF	America/Denver	Milford
DCP	America/Vancouver	Cabin Plant Heliport
MLJ	America/New_York	Baldwin County
XKS	America/Winnipeg	Kasabonika
DGG	Pacific/Port_Moresby	Daugo
CUW	America/Juneau	Cube Cove
BKU	Indian/Antananarivo	Betioky
BXK	America/Phoenix	Buckeye Municipal
BXS	America/Los_Angeles	Borrego Springs
BXT	Asia/Makassar	Bontang
BXX	Africa/Mogadishu	Borama International
BXY	Asia/Qyzylorda	Baikonur Krayniy Airport
BYA	America/Anchorage	Boundary
BYB	Asia/Muscat	Dibaa
BYD	Asia/Aden	Beidah
BYF	Europe/Paris	Albert-Bray Airport
BYG	America/Denver	Municipal
BYI	America/Boise	Rupert
BZT	America/Phoenix	Eagle Air Park
BZY	Europe/Chisinau	Beltsy Airport
CAA	America/Tegucigalpa	Catacamas
KPG	America/Guyana	Kurupung
KRX	Pacific/Port_Moresby	Kar Kar
KUQ	Pacific/Port_Moresby	Kuri
EHT	America/New_York	Rentschler
JNS	America/Godthab	Heliport
FAG	Atlantic/Reykjavik	Fagurholsmyri
SWB	Australia/Perth	Shaw River
BKG	America/Chicago	Branson
KHW	Africa/Gaborone	Khwai River Lodge
BBK	Africa/Gaborone	Kasane Airport
BJY	Europe/Belgrade	Batajnica
BKI	Asia/Kuching	Kota Kinabalu International Airport
BKL	America/New_York	Burke Lakefront Airport
BBZ	Africa/Lusaka	Zambezi
BJX	America/Mexico_City	Guanajuato International Airport
BKN	Asia/Ashgabat	Balkanabat Airport
BMI	America/Chicago	Central Illinois Regional Airport
BMO	Asia/Rangoon	Bhamo
CAB	Africa/Luanda	Cabinda Airport
MLK	America/Denver	Malta
MLM	America/Mexico_City	Morelia Airport
MLR	Australia/Adelaide	Millicent
GUE	Pacific/Port_Moresby	Guriaso
MLS	America/Denver	Municipal
MMR	America/Chicago	Camp Maybry AHP
MMT	America/New_York	Mc Entire ANG Base
NNI	Africa/Windhoek	Namutoni
KWR	Pacific/Guadalcanal	Kwai Harbour
CAC	America/Sao_Paulo	Cascavel Airport
CAF	America/Manaus	Carauari
YXF	America/Whitehorse	Snake River
YDW	America/Yellowknife	Obre Lake
RSP	America/Anchorage	Raspberry Strait
WHD	America/Sitka	SPB
MNR	Africa/Lusaka	Mongu
MMV	Pacific/Port_Moresby	Mal
ZBU	Europe/Copenhagen	Aarhus Limo
YSZ	America/Vancouver	Squirrel Cove
MMW	Africa/Maputo	Moma
CAM	America/La_Paz	Camiri
GUN	America/Chicago	Gunter AFB
CAO	America/Denver	Clayton
CAQ	America/Bogota	Caucasia
CAR	America/New_York	Municipal
CAS	Africa/Casablanca	Anfa
CAU	America/Recife	Caruaru
CAW	America/Sao_Paulo	Bartolomeu Lisandro Airport
CBB	America/La_Paz	J Wilsterman Airport
CBF	America/Chicago	Municipal
CBG	Europe/London	Cambridge Airport
CBH	Africa/Algiers	Leger
CBK	America/Chicago	Municipal
IIN	Asia/Tokyo	Nishinoomote
CBL	America/Caracas	Ciudad Bolivar
XKO	America/Vancouver	Kemano
CBN	Asia/Jakarta	Penggung
KNY	America/Regina	Kinoosao
CBS	America/Caracas	Oro Negro
CCC	America/Havana	Jardines del Rey Airport
CCF	Europe/Paris	Carcassonne Airport
CCH	America/Santiago	Chile Chico
MNS	Africa/Lusaka	Mansa
CCI	America/Sao_Paulo	Concordia
CCK	Indian/Cocos	Cocos Islands Airport
YDA	America/Dawson	Dawson City Airport
ZQW	Europe/Berlin	Zweibruecken Airport
JRB	America/New_York	Downtown Manhattan Heliport
WLN	America/Sitka	Little Naukati
RAB	Pacific/Port_Moresby	Tokua Airport
RRS	Europe/Oslo	Roros Airport
WRH	America/Anchorage	Wrench Creek
CCM	America/Sao_Paulo	Criciuma
CCN	Asia/Kabul	Chakcharan
CCQ	America/Bahia	Cachoeira
CCT	America/Argentina/Salta	Colonia Catriel
HAX	America/Chicago	Hatbox Field
YBM	America/Vancouver	Bronson Creek
WAN	Australia/Brisbane	Waverney
WUG	Pacific/Port_Moresby	Wau
BNK	Australia/Sydney	Ballina Byron Airport
BNL	America/New_York	Barnwell Regional
BNN	Europe/Oslo	Bronnoysund Airport Bronnoy
MNA	Asia/Makassar	Melangguane
UMB	America/Anchorage	North Shore
MNI	America/Montserrat	Bramble Airport
MLU	America/Chicago	Monroe Regional Airport
YRA	America/Yellowknife	Rae Lakes
MME	Europe/London	Durham Tees Valley Airport
ASI	Atlantic/St_Helena	Saint Helena Airport
BAN	Africa/Lubumbashi	Basongo
BHC	Asia/Karachi	Bhurban Heliport
BNI	Africa/Lagos	Benin City Airport
BPA	America/New_York	Grumman
BPS	America/Bahia	Porto Seguro Airport
MMF	Africa/Douala	Mamfe
BPX	Asia/Shanghai	Bangda Airport
BQG	Asia/Vladivostok	Bogorodskoye
MNN	America/New_York	Municipal
MMH	America/Los_Angeles	Mammoth Lakes Airport
MMK	Europe/Moscow	Murmansk Airport
GFA	America/Denver	Malmstrom AFB
MMM	Australia/Brisbane	Middlemount
HNX	America/Denver	Hanna
FGR	Europe/Madrid	Fuengirola
ILF	America/Winnipeg	Ilford
FIN	Pacific/Port_Moresby	Finschhafen
FMG	America/Costa_Rica	Flamingo
GBO	America/New_York	Baltimore Greenbelt T
IUM	America/Vancouver	Summit Lake
MMQ	Africa/Lusaka	Mbala
MMU	America/New_York	Morristown Municipal Airport
MMX	Europe/Stockholm	Malmo Airport
DSC	Africa/Douala	Dschang
LSA	Pacific/Port_Moresby	Losuia
RBV	Pacific/Guadalcanal	Ramata
PEN	Asia/Kuala_Lumpur	Penang International Airport
BSK	Africa/Algiers	Biskra Airport
MCZ	America/Maceio	Maceio-Zumbi dos Palmares International Airport
EBW	Africa/Douala	Ebolowa
CCU	Asia/Kolkata	Netaji Subhas Chandra Bose Airport
MDB	America/Belize	Melinda
CCY	America/Chicago	Municipal
AOD	Africa/Ndjamena	Abou Deia
AZR	Africa/Algiers	Adrar Airport
BPC	Africa/Douala	Bamenda
BQS	Asia/Yakutsk	Blagoveschensk Airport
BQT	Europe/Minsk	Brest Airport
BRA	America/Bahia	Barreiras Airport
BRB	America/Fortaleza	Barreirinhas
BSB	America/Sao_Paulo	Brasilia International Airport
CDE	America/Panama	Caledonia
CDH	America/Chicago	Harrell Field
CDK	America/New_York	Lewis
CDN	America/New_York	Woodward Field
MDD	America/Chicago	Airpark
MDF	America/Chicago	Medford
GBG	America/Chicago	Galesburg
IRA	Pacific/Guadalcanal	Kirakira Airport
MDI	Africa/Lagos	Makurdi
MDJ	America/Los_Angeles	City-county
PEW	Asia/Karachi	Bacha Khan International Airport
PEY	Australia/Adelaide	Penong
PEZ	Europe/Moscow	Penza Airport
PHL	America/New_York	Philadelphia International Airport
PHN	America/Detroit	St Clair County International
PKE	Australia/Sydney	Parkes Airport
PKZ	Asia/Vientiane	Pakse Airport
PLA	America/Bogota	Planadas
PLF	Africa/Ndjamena	Pala
PLL	America/Manaus	Ponta Pelada
CZL	Africa/Algiers	Ain El Bey Airport
YRB	America/Resolute	Resolute Bay Airport
QBC	America/Vancouver	Bella Coola Airport
ACE	Atlantic/Canary	Lanzarote Airport
CDP	Asia/Kolkata	Cuddapah
CDS	America/Chicago	Childress
CDW	America/New_York	Caldwell Wright
CEE	Europe/Moscow	Cherepovets Airport
CEF	America/New_York	Westover ARB/Metropolitan
CEG	Europe/London	Hawarden Airport
CEO	Africa/Luanda	Waco Kungo
CES	Australia/Sydney	Cessnock
CET	Europe/Paris	Le Pontreau
CEU	America/New_York	Oconee County
CEV	America/Indiana/Indianapolis	Mettle Field
MIQ	America/Chicago	Simón Bolívar International
MDX	America/Argentina/Cordoba	Mercedes
MED	Asia/Riyadh	Prince Mohammad Bin Abdulaziz International Airport
PLM	Asia/Jakarta	Sultan Mahmud Badaruddin II Airport
PLN	America/Detroit	Emmet County Airport
PLO	Australia/Adelaide	Port Lincoln Airport
PLS	America/Grand_Turk	Providenciales International Airport
PLW	Asia/Makassar	Mutiara Airport
PLZ	Africa/Johannesburg	Port Elizabeth International Airport
PMC	America/Santiago	El Tepual Airport
PMI	Europe/Madrid	Palma de Mallorca Airport
PNH	Asia/Phnom_Penh	Phnom Penh International Airport
PNI	Pacific/Pohnpei	Pohnpei Airport
BSQ	America/Phoenix	Bisbee Municipal Airport
DHO	America/Vancouver	Horn River
KEA	Asia/Jayapura	Keisah Airport
AMF	Pacific/Port_Moresby	Ama
SVY	Pacific/Guadalcanal	Savo
VAO	Pacific/Guadalcanal	Suavanao Airstrip
YAU	America/Montreal	Kattiniq/donaldson
YAD	America/Winnipeg	Moose Lake
YAX	America/Winnipeg	Angling Lake Airport
AMR	Pacific/Majuro	Arno
BBV	Africa/Abidjan	Hkg
BST	Asia/Kabul	Bost
BSU	Africa/Kinshasa	Basankusu
CEW	America/Chicago	Bob Sikes
BSM	Asia/Tehran	Bishe-kola
CEY	America/Chicago	Calloway County
AAW	Asia/Karachi	Abbottabad
LYT	Australia/Brisbane	Lady Elliot Island
AHT	America/Adak	Amchitka
BSO	Asia/Manila	Basco Airport
CFQ	America/Creston	Creston Valley Airport
CFR	Europe/Paris	Carpiquet Airport
CFT	America/Phoenix	Morenci
MEV	America/Los_Angeles	Douglas County
MEX	America/Mexico_City	Benito Juarez International Airport
MFC	Africa/Maseru	Mafeteng
GBC	Pacific/Port_Moresby	Gasuke
MFD	America/New_York	Lahm Municipal
POA	America/Sao_Paulo	Salgado Filho International Airport
POD	Africa/Dakar	Podor
POG	Africa/Libreville	Port Gentil
POH	America/Chicago	Pocahontas Municipal
PPT	Pacific/Tahiti	Tahiti Faa'a Airport
PPY	America/Sao_Paulo	Pouso Alegre
PPZ	America/Caracas	Puerto Paez
PRY	Africa/Johannesburg	Wonderboom Airport
PSA	Europe/Rome	Pisa International Airport
PSC	America/Los_Angeles	Tri-Cities Airport
GUV	Pacific/Port_Moresby	Mougulu
YFB	America/Iqaluit	Iqaluit Airport
HAH	Indian/Comoro	Prince Said Ibrahim Internatonal Airport
PVD	America/New_York	Theodore Francis Green Memorial State Airport
PVG	Asia/Shanghai	Shanghai Pudong International Airport
PVH	America/Porto_Velho	Porto Velho International Airport
MRM	Pacific/Port_Moresby	Manare
MNC	Africa/Maputo	Nacala
TPI	Pacific/Port_Moresby	Tapini
SBE	Pacific/Port_Moresby	Suabi
