UGL	Antarctica/South_Pole	Union Glacier Blue-Ice Runway
AFR	Pacific/Port_Moresby	Afore
AHI	Asia/Jayapura	Amahai
CBZ	America/Sitka	Cabin Creek
CMU	Pacific/Port_Moresby	Chimbu
FNB	Europe/Berlin	Neubrandenburg
FNC	Atlantic/Madeira	Madeira Airport
FND	Indian/Maldives	Funadhoo Airport
GOF	America/Chicago	Goodfellow AFB
HHP	Asia/Hong_Kong	H K Heliport
HLT	Australia/Melbourne	Hamilton
MQU	America/Bogota	Mariquita
ADD	Africa/Addis_Ababa	Addis Ababa Bole International Airport
DVD	Indian/Antananarivo	Andavadoaka
MRB	America/New_York	Eastern Wv Regional Airport/Shepherd Field
MRO	Pacific/Auckland	Masterton/Hood Aerodrome
MRQ	Asia/Manila	Marinduque
MTO	America/Chicago	Coles County Memorial
MSO	America/Denver	Missoula International Airport
MSP	America/Chicago	Minneapolis-St. Paul International Airport
MSQ	Europe/Minsk	Minsk National Airport
LPG	America/Argentina/Buenos_Aires	La Plata
LPJ	America/Caracas	Pijiguaos
LPK	Europe/Moscow	Lipetsk Airport
JOC	America/Los_Angeles	Centerport Heliport
JSN	America/Los_Angeles	Sherman Oaks Heliport
YNF	America/St_Johns	Deer Lake/Stephenville
YNR	America/Winnipeg	Arnes
YNE	America/Winnipeg	Norway House Airport
KKF	America/Nome	Kagvik Creek
LPO	America/Chicago	Municipal
LPX	Europe/Riga	Liepaya Airport
LPY	Europe/Paris	Loudes Airport
OCC	America/Guayaquil	Coca Airport
OCH	America/Chicago	A L Mangham Jr. Regional
KBK	America/Sitka	Klag Bay
SGG	Asia/Kuching	Simanggang
DJU	Atlantic/Reykjavik	Djupivogur
DKA	Africa/Lagos	Katsina
HAE	America/Phoenix	Havasupai
HAP	Australia/Brisbane	Long Island
HCB	America/Anchorage	Shoal Cove
ILY	Europe/London	Glenegedale Airport
IMK	Asia/Kathmandu	Simikot
IMQ	Asia/Tehran	Maku International Airport
ABJ	Africa/Abidjan	Felix Houphouet Boigny Airport
IXI	Asia/Kolkata	Lilabari Airport
WNC	America/Anchorage	Naukati Bay SPB
JRD	America/Los_Angeles	Heliport
NBP	America/New_York	Battery Pk City/N. Cov
LQK	America/New_York	Pickens
LQM	America/Bogota	Puerto Leguizamo
LRB	Africa/Maseru	Leribe
LRT	Europe/Paris	Lann Bihoue Airport
LRU	America/Denver	Municipal
IXJ	Asia/Kolkata	Satwari Airport
AEK	Pacific/Port_Moresby	Aseki
ARL	Africa/Ouagadougou	Arly
LRV	America/Caracas	Los Roques
LSB	America/Denver	Lordsburg
LSD	America/New_York	Blue Grass Station Army Heliport
LSK	America/Denver	Lusk
LSM	Asia/Kuching	Lawas
LSN	America/Los_Angeles	Los Banos
LSO	Europe/Paris	Talmont
BWE	Europe/Berlin	Braunschweig
CHI	America/Chicago	Chicago FSS
CKX	America/Anchorage	Chicken
LSQ	America/Santiago	Los Angeles
LSV	America/Los_Angeles	Nellis AFB
CRY	Australia/Perth	Carlton Hill
CSL	America/Los_Angeles	O Sullivan Army Air Field
DMM	Asia/Riyadh	King Fahd International Airport
ITO	Pacific/Honolulu	Hilo International Airport
ITP	America/Sao_Paulo	Itaperuna
IWS	America/Chicago	West Houston
IXA	Asia/Kolkata	Agartala Airport
IXB	Asia/Kolkata	Bagdogra Airport
IXC	Asia/Kolkata	Chandigarh Airport
IXD	Asia/Kolkata	Bamrauli Airport
IXE	Asia/Kolkata	Mangalore Airport
IXK	Asia/Kolkata	Keshod
MUV	America/New_York	Mustin Alf
LSW	Asia/Jakarta	Malikus Saleh Airport
LSX	Asia/Jakarta	Lhok Sukon
IXM	Asia/Kolkata	Madurai Airport
AAT	Asia/Urumqi	Altay Airport
ABB	Africa/Lagos	Asaba International Airport
YCV	America/Montreal	Cartierville
AFS	Asia/Samarkand	Zarafshan
AIC	Pacific/Majuro	Airok
XYP	Europe/Stockholm	Avesta Krylbo
TRP	America/Anchorage	Tree Point Heliport
LSZ	Europe/Zagreb	Losinj Airport
LTA	Africa/Johannesburg	Letaba
LTB	Australia/Hobart	Latrobe
LTC	Africa/Ndjamena	Lai
LTD	Africa/Tripoli	Ghadames
LRF	America/Chicago	Little Rock AFB
LTG	Asia/Kathmandu	Langtang
YMC	America/Montreal	Maricourt Airstrip
LSC	America/Santiago	La Florida Airport
LTI	Asia/Hovd	Altai
IXR	Asia/Kolkata	Birsa Munda Airport
AGG	Pacific/Port_Moresby	Angoram
IXU	Asia/Kolkata	Chikkalthana Airport
LSE	America/Chicago	La Crosse Regional Airport
LSL	America/Costa_Rica	Los Chiles
LSP	America/Caracas	Josefa Camejo Airport
CIV	America/Sitka	Chomley
CLC	America/Chicago	Metroport
CRJ	Australia/Adelaide	Coorabie
CWS	America/Los_Angeles	Center Island
DMO	America/Chicago	Sedalia
DRS	Europe/Berlin	Dresden International Airport
IXW	Asia/Kolkata	Sonari
IXY	Asia/Kolkata	Kandla
IXZ	Asia/Kolkata	Port Blair Airport
JGA	Asia/Kolkata	Govardhanpur Airport
JGB	Asia/Kolkata	Jagdalpur
JGD	Asia/Shanghai	Jiagedaqi Airport
NDP	America/Chicago	Ellyson NAS
LSS	America/Guadeloupe	Terre-de-Haut
LST	Australia/Hobart	Launceston Airport
LSY	Australia/Sydney	Lismore Airport
LVA	Europe/Paris	Entrammes
JOJ	America/Cambridge_Bay	Doris Lake Aerodrome
LUW	Asia/Makassar	Bubung Airport
LVB	America/Sao_Paulo	Dos Galpoes
LVL	America/New_York	Lawrenceville
LVM	America/Denver	Mission Field
LVS	America/Denver	Las Vegas
NIE	America/Anchorage	Niblack
JSH	Europe/Athens	Sitia Airport
JSI	Europe/Athens	Skiathos Airport
KAB	Africa/Harare	Kariba
LBE	America/New_York	Westmoreland County Airport
LBF	America/Chicago	Lee Bird Field
ZFB	America/Blanc-Sablon	Old Fort Bay
ALM	America/Denver	Municipal
AOL	America/Argentina/Cordoba	Paso De Los Libres
ASH	America/New_York	Boire Field
BGL	Asia/Kathmandu	Baglung
BGT	America/Phoenix	Bagdad
BJO	America/La_Paz	Bermejo
CSW	America/Porto_Velho	Colorado do Oeste
DAO	Pacific/Port_Moresby	Dabo
FCT	America/Los_Angeles	Firing Center AAF
FLU	America/New_York	Flushing
JCX	America/Los_Angeles	Citicorp Plaza Heliport
JHW	America/New_York	Jamestown Airport
JKH	Europe/Athens	Chios Airport
JKL	Europe/Athens	Kalymnos Island National Airport
JKR	Asia/Kathmandu	Janakpur Airport
AMU	Pacific/Port_Moresby	Amanab
AMY	Indian/Antananarivo	Ambatomainty
AOB	Pacific/Port_Moresby	Annanberg
DGA	America/Belize	Dangriga
ZFZ	America/New_York	Buffalo Depew Rr
LDI	Africa/Dar_es_Salaam	Kikwetu
BOF	America/New_York	Bolling AFB
LDJ	America/New_York	Linden
LWK	Europe/London	Lerwick/Tingwall
LDY	Europe/London	City of Derry Airport
BAU	America/Sao_Paulo	Bauru Airport
DGK	Africa/Maputo	Dugong
LEJ	Europe/Berlin	Leipzig/Halle Airport
COL	Europe/London	Isle Of Coll
CUK	America/Belize	Caye Caulker
LPW	America/Sitka	Little Port Walter
LFT	America/Chicago	Lafayette Regional Airport
LTH	America/Los_Angeles	Lathrop Wells
LSR	America/Nome	Lost River
LWA	Asia/Manila	Lwbak
ADC	Pacific/Port_Moresby	Andakombe
AFT	Pacific/Guadalcanal	Afutara Aerodrome
AGQ	Europe/Athens	Agrinion
AGV	America/Caracas	Acarigua
AGX	Asia/Kolkata	Agatti Island Airport
AIE	Pacific/Port_Moresby	Aiome
LXG	Asia/Vientiane	Luang Namtha Airport
DOK	Europe/Kiev	Donetsk International Airport
DUS	Europe/Berlin	Dusseldorf International Airport
FIE	Europe/London	Fair Isle
HDA	America/Sitka	Hidden Falls
NQT	Europe/London	Nottingham Airport
OHE	Asia/Shanghai	Mohe Airport
OHH	Asia/Srednekolymsk	Novostroyka Airport
NWS	America/New_York	Pier 11/Wall St. SPB
WOO	America/Anchorage	Woodchopper
LXN	America/Chicago	Lexington
TIS	Australia/Brisbane	Thursday Island
LXR	Africa/Cairo	Luxor International Airport
DDI	Australia/Brisbane	Daydream Island
DOI	Pacific/Port_Moresby	Doini
LXS	Europe/Athens	Limnos Airport
LFW	Africa/Lome	Lome Airport
LGA	America/New_York	LaGuardia Airport
LGB	America/Los_Angeles	Long Beach Airport
AIY	America/New_York	Bader Field
BAJ	Pacific/Port_Moresby	Bali
LGD	America/Los_Angeles	La Grande
LGG	Europe/Brussels	Liege Airport
LGI	America/Nassau	Deadmans Cay Airport
LGK	Asia/Kuala_Lumpur	Langkawi International Airport
LLE	Africa/Johannesburg	Malelane
LXU	Africa/Lusaka	Lukulu
LLJ	Asia/Jakarta	Silampari Airport
LXV	America/Denver	Leadville
SIL	Pacific/Port_Moresby	Sila
LLO	Asia/Makassar	Bua Airport
LLT	Africa/Luanda	Lobito
AKH	Asia/Riyadh	Prince Sultan Air Base
YDH	America/St_Johns	Daniels Harbour
AQM	America/Porto_Velho	Ariquemes
ARP	Pacific/Port_Moresby	Aragip
ASE	America/Denver	Aspen Airport
ASG	Pacific/Auckland	Ashburton
ASQ	America/Los_Angeles	Austin
ASU	America/Asuncion	Silvio Pettirossi International Airport
